age,workclass,education_num,marital_status,occupation,race,sex,hours_per_week,native_country,income
39, State-gov,13, Never-married, Adm-clerical, White, Male,40, United-States, <=50K
50, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, White, Male,13, United-States, <=50K
38, Private,9, Divorced, Handlers-cleaners, White, Male,40, United-States, <=50K
53, Private,7, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States, <=50K
28, Private,13, Married-civ-spouse, Prof-specialty, Black, Female,40, Cuba, <=50K
37, Private,14, Married-civ-spouse, Exec-managerial, White, Female,40, United-States, <=50K
49, Private,5, Married-spouse-absent, Other-service, Black, Female,16, Jamaica, <=50K
52, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K
31, Private,14, Never-married, Prof-specialty, White, Female,50, United-States, >50K
42, Private,13, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K
37, Private,10, Married-civ-spouse, Exec-managerial, Black, Male,80, United-States, >50K
30, State-gov,13, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K
23, Private,13, Never-married, Adm-clerical, White, Female,30, United-States, <=50K
32, Private,12, Never-married, Sales, Black, Male,50, United-States, <=50K
40, Private,11, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, ?, >50K
34, Private,4, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, Self-emp-not-inc,9, Never-married, Farming-fishing, White, Male,35, United-States, <=50K
32, Private,9, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
38, Private,7, Married-civ-spouse, Sales, White, Male,50, United-States, <=50K
43, Self-emp-not-inc,14, Divorced, Exec-managerial, White, Female,45, United-States, >50K
40, Private,16, Married-civ-spouse, Prof-specialty, White, Male,60, United-States, >50K
54, Private,9, Separated, Other-service, Black, Female,20, United-States, <=50K
35, Federal-gov,5, Married-civ-spouse, Farming-fishing, Black, Male,40, United-States, <=50K
43, Private,7, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K
59, Private,9, Divorced, Tech-support, White, Female,40, United-States, <=50K
56, Local-gov,13, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K
19, Private,9, Never-married, Craft-repair, White, Male,40, United-States, <=50K
54, ?,10, Married-civ-spouse, ?, Asian-Pac-Islander, Male,60, South, >50K
39, Private,9, Divorced, Exec-managerial, White, Male,80, United-States, <=50K
49, Private,9, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
23, Local-gov,12, Never-married, Protective-serv, White, Male,52, United-States, <=50K
20, Private,10, Never-married, Sales, Black, Male,44, United-States, <=50K
45, Private,13, Divorced, Exec-managerial, White, Male,40, United-States, <=50K
30, Federal-gov,10, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K
22, State-gov,10, Married-civ-spouse, Other-service, Black, Male,15, United-States, <=50K
48, Private,7, Never-married, Machine-op-inspct, White, Male,40, Puerto-Rico, <=50K
21, Private,10, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K
19, Private,9, Married-AF-spouse, Adm-clerical, White, Female,25, United-States, <=50K
31, Private,10, Married-civ-spouse, Sales, White, Male,38, ?, >50K
48, Self-emp-not-inc,12, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
31, Private,5, Married-civ-spouse, Machine-op-inspct, White, Male,43, United-States, <=50K
53, Self-emp-not-inc,13, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K
24, Private,13, Married-civ-spouse, Tech-support, White, Male,50, United-States, <=50K
49, Private,9, Separated, Adm-clerical, White, Female,40, United-States, <=50K
25, Private,9, Never-married, Handlers-cleaners, White, Male,35, United-States, <=50K
57, Federal-gov,13, Married-civ-spouse, Prof-specialty, Black, Male,40, United-States, >50K
53, Private,9, Married-civ-spouse, Machine-op-inspct, White, Male,38, United-States, <=50K
44, Private,14, Divorced, Exec-managerial, White, Female,40, United-States, <=50K
41, State-gov,11, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K
